time,latitude,longitude,mag,country
2000-08-06,28.856,139.556,7.4,Japan
2000-06-18,-13.802,97.453,7.9,India
2000-06-04,-4.721,102.087,7.9,Indonesia
2000-05-12,-23.548,-66.452,7.2,Argentina
2000-05-04,-1.105,123.573,7.6,Indonesia
2000-04-23,-28.307,-62.99,7.0,Argentina
2000-03-28,22.338,143.73,7.6,Japan
2000-02-25,-19.528,173.818,7.1,Vanuatu
2000-01-08,-16.925,-174.248,7.2,Tonga
1999-12-11,15.766,119.74,7.3,Philippines
1999-12-06,57.3424,-154.3469,7.0,USA
1999-11-26,-16.423,168.214,7.5,Vanuatu
1999-11-19,-6.351,148.763,7.0,Guinea
1999-11-15,-1.339,88.976,7.0,India
1999-11-12,40.758,31.161,7.2,Turkey
1999-09-30,16.059,-96.931,7.5,Mexico
1999-09-20,23.772,120.982,7.7,Taiwan
1999-08-17,40.748,29.864,7.6,Turkey
1999-06-15,18.386,-97.436,7.0,Mexico
1999-05-16,-4.751,152.486,7.1,Guinea
1999-05-10,-5.159,150.88,7.1,Guinea
1999-04-08,43.607,130.35,7.1,China
1999-04-05,-5.591,149.568,7.4,Guinea
1999-03-04,5.397,121.937,7.1,Philippines
1999-02-06,-12.853,166.697,7.3,Vanuatu
1999-01-19,-4.596,153.235,7.0,Guinea
1998-11-29,-2.071,124.891,7.7,Indonesia
1998-08-20,28.932,139.329,7.1,Japan
1998-08-04,-0.593,-80.393,7.2,Ecuador
1998-07-17,-2.961,141.926,7.0,Guinea
1998-07-16,-11.04,166.16,7.0,Solomon Islands
1998-05-03,22.306,125.308,7.5,Japan
1998-04-01,-0.544,99.261,7.0,Indonesia
1998-03-29,-17.552,-179.092,7.2,Fiji
1998-01-30,-23.913,-70.207,7.1,Chile
1997-12-22,-5.495,147.867,7.2,Guinea
1997-12-05,54.841,162.035,7.8,Russia
1997-11-25,1.241,122.536,7.0,Indonesia
1997-11-15,-15.145,167.375,7.0,Vanuatu
1997-10-28,-4.368,-76.681,7.2,Peru
1997-10-15,-30.933,-71.22,7.1,Chile
1997-10-14,-22.101,-176.772,7.8,Tonga
1997-07-09,10.598,-63.486,7.0,Venezuela
1997-05-10,33.825,59.809,7.3,Iran
1997-04-21,-12.584,166.676,7.7,Vanuatu
1997-02-27,29.976,68.208,7.1,Pakistan
1997-01-23,-21.999,-65.719,7.1,Bolivia
1997-01-11,18.219,-102.756,7.2,Mexico
1996-11-12,-14.993,-75.675,7.7,Peru
1996-08-05,-20.69,-178.31,7.4,Fiji
1996-07-22,1.0,120.45,7.0,Indonesia
1996-06-17,-7.137,122.589,7.9,Indonesia
1996-06-11,12.614,125.154,7.1,Philippines
1996-06-10,51.478,-176.847,7.3,USA
1996-06-10,51.564,-177.632,7.9,USA
1996-04-29,-6.518,154.999,7.2,Guinea
1996-04-16,-24.061,-177.036,7.2,Fiji
1996-02-25,15.978,-98.07,7.1,Mexico
1996-02-21,-9.593,-79.587,7.5,Peru
1996-02-17,-0.891,136.952,8.09,Indonesia
1996-02-07,45.324,149.892,7.2,Russia
1996-01-01,0.729,119.931,7.9,Indonesia
1995-12-03,44.663,149.3,7.9,Russia
1995-11-22,28.826,34.799,7.2,Egypt
1995-10-21,16.84,-93.469,7.2,Mexico
1995-10-18,27.929,130.175,7.1,Japan
1995-10-09,19.055,-104.205,8.0,Mexico
1995-10-03,-2.75,-77.881,7.0,Ecuador
1995-09-14,16.779,-98.597,7.4,Mexico
1995-08-23,18.856,145.218,7.1,Northern Mariana Islands
1995-08-16,-5.771,154.347,7.2,Guinea
1995-08-16,-5.799,154.178,7.7,Guinea
1995-07-30,-23.34,-70.294,8.0,Chile
1995-07-03,-29.211,-177.589,7.2,New Zealand
1995-05-27,52.629,142.827,7.1,Russia
1995-05-16,-23.008,169.9,7.7,New Caledonia
1995-05-05,12.626,125.297,7.1,Philippines
1995-04-21,12.059,125.58,7.2,Philippines
1995-04-07,-15.199,-173.529,7.4,Tonga
1995-02-05,-37.759,178.752,7.1,New Zealand
1995-01-06,40.246,142.175,7.0,Japan
1994-12-28,40.525,143.419,7.8,Japan
1994-11-14,13.525,121.067,7.1,Philippines
1994-10-09,43.905,147.916,7.3,Russia
1994-10-04,43.773,147.321,8.3,Russia
1994-09-01,40.402,-125.68,7.1,USA
1994-07-21,42.34,132.865,7.3,Russia
1994-07-13,-16.62,167.518,7.2,Vanuatu
